name	gisaid_epi_isl	date	country	loc
hCoV-19_Belgium_rega-34044_2022	EPI_ISL_14628941	2022-02-21	Belgium	leuven
hCoV-19_Belgium_rega-34040_2022	EPI_ISL_14628937	2022-02-22	Belgium	leuven
hCoV-19_Belgium_rega-33982_2022	EPI_ISL_14628879	2022-02-22	Belgium	leuven
hCoV-19_Belgium_rega-33957_2022	EPI_ISL_14628854	2022-02-14	Belgium	leuven
hCoV-19_Belgium_rega-33564_2022	EPI_ISL_14622485	2022-02-21	Belgium	leuven
hCoV-19_Belgium_rega-32493_2022	EPI_ISL_14621418	2022-02-16	Belgium	leuven
hCoV-19_Belgium_rega-22607_2021	EPI_ISL_7982669	2021-12-14	Belgium	leuven
hCoV-19_Belgium_rega-32053_2022	EPI_ISL_13879095	2022-02-15	Belgium	leuven
hCoV-19_Belgium_rega-31813_2022	EPI_ISL_13878947	2022-02-14	Belgium	leuven
hCoV-19_Belgium_rega-31920_2022	EPI_ISL_13803733	2022-02-14	Belgium	leuven
hCoV-19_Belgium_rega-30590_2022	EPI_ISL_13504993	2022-02-15	Belgium	leuven
hCoV-19_Belgium_rega-30588_2022	EPI_ISL_13504991	2022-02-15	Belgium	leuven
hCoV-19_Belgium_rega-29006_2022	EPI_ISL_13475309	2022-01-28	Belgium	leuven
hCoV-19_Belgium_rega-24257_2021	EPI_ISL_13340988	2021-12-22	Belgium	leuven
hCoV-19_Belgium_rega-23277_2021	EPI_ISL_13325555	2021-12-20	Belgium	leuven
hCoV-19_Belgium_rega-23276_2021	EPI_ISL_13325554	2021-12-20	Belgium	leuven
hCoV-19_Belgium_rega-23257_2021	EPI_ISL_13325535	2021-12-20	Belgium	leuven
hCoV-19_Belgium_rega-23251_2021	EPI_ISL_13325529	2021-12-20	Belgium	leuven
hCoV-19_Belgium_rega-22792_2021	EPI_ISL_13303903	2021-12-16	Belgium	leuven
hCoV-19_Belgium_rega-22789_2021	EPI_ISL_13303900	2021-12-16	Belgium	leuven
hCoV-19_Belgium_rega-22778_2021	EPI_ISL_13303889	2021-12-16	Belgium	leuven
hCoV-19_Belgium_rega-38402_2022	EPI_ISL_14664121	2022-02-25	Belgium	leuven
hCoV-19_Belgium_rega-38354_2022	EPI_ISL_14664073	2022-02-24	Belgium	leuven
hCoV-19_Belgium_rega-38131_2022	EPI_ISL_14663728	2022-02-24	Belgium	leuven
hCoV-19_Belgium_rega-37780_2022	EPI_ISL_14662263	2022-02-24	Belgium	leuven
hCoV-19_Belgium_rega-37578_2022	EPI_ISL_14661171	2022-02-22	Belgium	leuven
hCoV-19_Belgium_rega-37464_2022	EPI_ISL_14661057	2022-02-17	Belgium	leuven
hCoV-19_Belgium_rega-36357_2022	EPI_ISL_14631256	2022-02-26	Belgium	leuven
hCoV-19_Belgium_rega-34977_2022	EPI_ISL_14629875	2022-02-21	Belgium	leuven
hCoV-19_Belgium_rega-34758_2022	EPI_ISL_14629656	2022-02-22	Belgium	leuven
hCoV-19_Belgium_rega-44761_2022	EPI_ISL_14732755	2022-01-05	Belgium	leuven
hCoV-19_Belgium_rega-44760_2022	EPI_ISL_14732754	2022-01-05	Belgium	leuven
hCoV-19_Belgium_rega-44759_2022	EPI_ISL_14732753	2022-01-05	Belgium	leuven
hCoV-19_Belgium_rega-44758_2022	EPI_ISL_14732752	2022-01-05	Belgium	leuven
hCoV-19_Belgium_rega-44757_2022	EPI_ISL_14732751	2022-01-05	Belgium	leuven
hCoV-19_Belgium_rega-44756_2022	EPI_ISL_14732750	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44755_2022	EPI_ISL_14732749	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44753_2022	EPI_ISL_14732747	2022-01-03	Belgium	leuven
hCoV-19_Belgium_rega-44752_2022	EPI_ISL_14732746	2022-01-03	Belgium	leuven
hCoV-19_Belgium_rega-44751_2022	EPI_ISL_14732745	2022-01-03	Belgium	leuven
hCoV-19_Belgium_rega-44750_2022	EPI_ISL_14732744	2022-01-05	Belgium	leuven
hCoV-19_Belgium_rega-44749_2022	EPI_ISL_14732743	2022-01-05	Belgium	leuven
hCoV-19_Belgium_rega-44748_2022	EPI_ISL_14732742	2022-01-05	Belgium	leuven
hCoV-19_Belgium_rega-44747_2022	EPI_ISL_14732741	2022-01-05	Belgium	leuven
hCoV-19_Belgium_rega-44745_2022	EPI_ISL_14732739	2022-01-05	Belgium	leuven
hCoV-19_Belgium_rega-44744_2022	EPI_ISL_14732738	2022-01-05	Belgium	leuven
hCoV-19_Belgium_rega-44743_2022	EPI_ISL_14732737	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44742_2022	EPI_ISL_14732736	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44741_2022	EPI_ISL_14732735	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44740_2022	EPI_ISL_14732734	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44739_2022	EPI_ISL_14732733	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44738_2022	EPI_ISL_14732732	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44737_2022	EPI_ISL_14732731	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44736_2022	EPI_ISL_14732730	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44735_2022	EPI_ISL_14732729	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44734_2022	EPI_ISL_14732728	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44733_2022	EPI_ISL_14732727	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44732_2022	EPI_ISL_14732726	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44683_2022	EPI_ISL_14732419	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44682_2022	EPI_ISL_14732418	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44681_2022	EPI_ISL_14732417	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44680_2022	EPI_ISL_14732416	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44678_2022	EPI_ISL_14732414	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44677_2022	EPI_ISL_14732413	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44676_2022	EPI_ISL_14732412	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44675_2022	EPI_ISL_14732411	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44674_2022	EPI_ISL_14732410	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44673_2022	EPI_ISL_14732409	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44671_2022	EPI_ISL_14732407	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44669_2022	EPI_ISL_14732406	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44668_2022	EPI_ISL_14732405	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44667_2022	EPI_ISL_14732404	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44666_2022	EPI_ISL_14732403	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-44665_2022	EPI_ISL_14732402	2022-01-05	Belgium	leuven
hCoV-19_Belgium_rega-44664_2022	EPI_ISL_14732401	2022-01-06	Belgium	leuven
hCoV-19_Belgium_rega-44663_2022	EPI_ISL_14732400	2022-01-06	Belgium	leuven
hCoV-19_Belgium_rega-44662_2022	EPI_ISL_14732399	2022-01-06	Belgium	leuven
hCoV-19_Belgium_rega-44661_2022	EPI_ISL_14732398	2022-01-05	Belgium	leuven
hCoV-19_Belgium_rega-44660_2022	EPI_ISL_14732397	2022-01-05	Belgium	leuven
hCoV-19_Belgium_rega-44659_2022	EPI_ISL_14732396	2022-01-05	Belgium	leuven
hCoV-19_Belgium_rega-44658_2022	EPI_ISL_14732395	2022-01-05	Belgium	leuven
hCoV-19_Belgium_rega-44657_2022	EPI_ISL_14732394	2022-01-05	Belgium	leuven
hCoV-19_Belgium_rega-44656_2022	EPI_ISL_14732393	2022-01-05	Belgium	leuven
hCoV-19_Belgium_rega-44655_2022	EPI_ISL_14732392	2022-01-05	Belgium	leuven
hCoV-19_Belgium_rega-44654_2022	EPI_ISL_14732391	2022-01-06	Belgium	leuven
hCoV-19_Belgium_rega-44653_2022	EPI_ISL_14732390	2022-01-06	Belgium	leuven
hCoV-19_Belgium_rega-44652_2022	EPI_ISL_14732389	2022-01-06	Belgium	leuven
hCoV-19_Belgium_rega-44651_2022	EPI_ISL_14732388	2022-01-08	Belgium	leuven
hCoV-19_Belgium_rega-44648_2022	EPI_ISL_14732385	2022-01-07	Belgium	leuven
hCoV-19_Belgium_rega-44647_2022	EPI_ISL_14732384	2022-01-07	Belgium	leuven
hCoV-19_Belgium_rega-44646_2022	EPI_ISL_14732383	2022-01-10	Belgium	leuven
hCoV-19_Belgium_rega-44645_2022	EPI_ISL_14732382	2022-01-13	Belgium	leuven
hCoV-19_Belgium_rega-44644_2022	EPI_ISL_14732381	2022-01-12	Belgium	leuven
hCoV-19_Belgium_rega-44643_2022	EPI_ISL_14732380	2022-01-05	Belgium	leuven
hCoV-19_Belgium_rega-42280_2021	EPI_ISL_14673096	2021-12-31	Belgium	leuven
hCoV-19_Belgium_rega-41778_2022	EPI_ISL_14672594	2022-04-13	Belgium	leuven
hCoV-19_Belgium_rega-38816_2022	EPI_ISL_14664628	2022-02-23	Belgium	leuven
hCoV-19_Belgium_rega-38646_2022	EPI_ISL_14664365	2022-02-21	Belgium	leuven
hCoV-19_Belgium_rega-38645_2022	EPI_ISL_14664364	2022-02-21	Belgium	leuven
hCoV-19_Belgium_rega-38639_2022	EPI_ISL_14664358	2022-02-21	Belgium	leuven
hCoV-19_Belgium_rega-44679_2022	EPI_ISL_14732415	2022-01-04	Belgium	leuven
hCoV-19_Belgium_rega-26739_2022	EPI_ISL_13388729	2022-01-14	Belgium	bg
hCoV-19_Belgium_rega-26902_2022	EPI_ISL_13388969	2022-01-15	Belgium	bg
Belgium_MBLG-CTMAPF01528896_2022	EPI_ISL_8931596	2022-01-12	Belgium	bg
hCoV-19_Belgium_rega-26927_2022	EPI_ISL_13388994	2022-01-15	Belgium	bg
Belgium_ULB-IBC_CV8226304359_2022	EPI_ISL_10334277	2022-02-16	Belgium	bg
hCoV-19_Belgium_rega-26843_2022	EPI_ISL_13388842	2022-01-17	Belgium	bg
Belgium_UGent-301_2022	EPI_ISL_11375397	2022-01-18	Belgium	bg
